,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,RT1),RI,Compound name,"Aroma description
 (Threshold)",Concentration2),,,,,,,,,,i.d3),
66,24.879,1397,Methyl octanoate,,,0.03±0.01,,,,,,,,,"MS,RI",o
67,24.973,1401,2-Nonanone,,,0.03±0.01,,,0.09±0.02,,,0.02±0.00,,,"MS,RI",o
68,25.427,1418,E-2-hexen-1-ol,,,0.45±0.07,,,,,,,,,"MS,RI",o
69,25.957,1438,"1,3-bis(1,1-dimethylethyl)benzene",,3.65±0.00,0.40±0.01,2.92±0.19,2.99±0.47,0.85±0.01,0.17±0.01,2.76±0.68,0.09±0.00,,,"MS,RI",o
70,26.192,1447, e-2-octenal,,,,,,,,,0.05±0.00,,,"MS,RI",o
71,26.135,1445,Ethyl caprylate,,0.92±0.24,8.94±0.96,2.65±0.27,2.39±0.57,35.27±1.64,0.40±0.12,89.49±23.67,0.12±0.02,,,"MS,RI",o
72,26.261,1450,"1,2,3,4-tetramethylbenzene ",,,,,0.15±0.05,,0.05±0.01,,,,,"MS,RI",o
73,26.586,1462,isoamyl caproate,,,,,,0.35±0.01,,,,,,"MS,RI",o
74,26.666,1465,acetic acid,,,,,0.31±0.01,,,2.03±0.84,,,,"MS,RI",o
75,27.168,1484,Furfural ,,,0.19±0.02,0.77±0.15,,,0.04±0.00,2.61±0.76,0.01±0.00,,,"MS,RI",o
76,27.567,1499,2-ethylhexanol,,,,,,,0.06±0.00,,,,,"MS,RI",o
77,27.926,1513,ethyl sorbate ,,,,,,0.06±0.01,,,,,,"MS,RI",o
78,28.181,1524,propyl octanoate,,,,,,0.16±0.01,,0.91±0.24,,,,"MS,RI",o
79,28.733,1546,Ethyl nonanoate,,,0.03±0.00,0.09±0.01,,0.06±0.00,`,0.39±0.12,,,,"MS,RI",o
80,28.867,1551,Benzaldehyde,"Almond, Cherry stone",0.08±0.00,,0.73±0.15,0.12±0.02,0.07±0.00,0.03±0.00,,,,,"MS,RI",o
81,28.978,1556,linalool,,,,,,,,,0.02±0.01,,,"MS,RI",o
82,28.993,1556,Vitispirane,,,0.26±0.00,,,,,1.64±0.42,,,,MS,v
83,29.067,1559,isobutyl caprylate,,,,,,,,1.05±0.28,,,,"MS,RI",o
84,29.071,1559,2-hydroxy-4-methyl pentanoic acid ethyl ester,,,,0.12±0.00,,,,,,,,"MS,RI",o
85,29.311,1569,1-Octanol,,,0.04±0.00,,,0.12±0.00,,0.12±0.03,,,,"MS,RI",o
86,29.442,1574,methyl citronellate,,,,,,,,,0.02±0.01,,,MS,v
87,29.461,1575,2-undecanone,,,,,,0.07±0.01,,,,,,"MS,RI",o
88,29.715,1585,nonyl acetate ,,,,,,,,0.13±0.02,,,,"MS,RI",o
89,30.04,1598,5-methyl-2-furfural,,,,,,,,0.11±0.04,,,,"MS,RI",o
90,30.119,1601,hexadecane,,,,,,,,0.22±0.11,,,,"MS,RI",o
92,30.242,1607,methyl caprate,,,,,,,,0.11±0.03,,,,"MS,RI",o
93,30.33,1610,Propylene glycol,,,0.06±0.01,,,,,,,,,"MS,RI",o
94,30.37,1612,2-undecanone,,,,,,,,0.28±0.21,0.06±0.00,,,"MS,RI",o
95,30.627,1623,hexyl hexanoate,,,,,,,,0.12±0.02,,,,"MS,RI",o
96,30.714,1627,4-terpineol,,,,,,,0.18±0.01,,0.34±0.02,,,"MS,RI",o
98,31.245,1649,"cis-2,6-dimethyl-2,6-octadiene",,,,,,0.28±0.02,0.02±0.00,,,,,MS,v
99,31.256,1650,Ethyl decanoate,"waxy, slightly floral&fruity",0.06±0.02,0.66±0.08,0.58±0.05,0.47±0.09,10.73±0.96,0.21±0.05,150.94±39.99,0.36±0.11,,,"MS,RI",o
100,31.622,1665,e-2-decenal,,,,,,,,,0.01±0.00,,,"MS,RI",o
101,31.773,1672,isopentyl octanoate,,,,,,,,7.76±2.15,,,,"MS,RI",o
102,31.82,1674,citronellyl acetate,,,,,,,,,0.12±0.01,,,"MS,RI",o
103,32.065,1684,2-methylbutanoic acid,,,0.04±0.00,,,,,,,,,"MS,RI",o
104,32.25,1692,Diethyl succinate,,,0.27±0.03,0.10±0.02,0.15±0.02,,,0.85±0.27,,,,"MS,RI",o
107,32.509,1703,Ethyl 9-decenoate,,,0.03±0.01,,,0.07±0.00,,0.39±0.15,,,,"MS,RI",o
108,32.894,1720,α-terpineol,,,,,,,0.02±0.00,,,,,"MS,RI",o
109,32.905,1721,α-terpinyl acetate,,,,,,,,,0.17±0.01,,,"MS,RI",o
110,33.078,1728,2-undecanol,,,,,,,,,0.01±0.00,,,"MS,RI",o
111,33.241,1736,propyl decanoate,,,,,,,,1.42±0.09,,,,"MS,RI",o
