Compound,Liquor
diethyl_succinate,화주
diethyl_succinate,왕주
diethyl_succinate,추사
ethyl_9-decenoate,애플스피릿
ethyl_9-decenoate,추사백
ethyl_9-decenoate,추사
α-terpineol,여우목
α-terpinyl_acetate,술샘
2-undecanol,술샘
propyl_decanoate,추사
"(2,2-diethoxyethyl)benzene",화주
isobutyl_caprate,애플스피릿
isobutyl_caprate,추사백
isobutyl_caprate,추사
citronollol,추사백
citronollol,여우목
citronollol,술샘
methyl_salicylate,애플스피릿
methyl_salicylate,추사백
methyl_salicylate,추사
methyl_salicylate,술샘
phenethyl_acetate,애플스피릿
phenethyl_acetate,화주
phenethyl_acetate,왕주
phenethyl_acetate,추사백
phenethyl_acetate,추사
phenethyl_acetate,술샘
(e)-β-damascenone,애플스피릿
ethyl_laurate,화주
ethyl_laurate,추사백
ethyl_laurate,추사
ethyl_laurate,술샘
hexanoic_acid,애플스피릿
isoamyl_decanoate,추사
isoamyl_decanoate,술샘
bht_(butylated_hydroxy_toluene),도원결의
bht_(butylated_hydroxy_toluene),화주
bht_(butylated_hydroxy_toluene),여우목
bht_(butylated_hydroxy_toluene),추사
bht_(butylated_hydroxy_toluene),술샘
benzeneethanol_(phenethyl_alcohol),도원결의
benzeneethanol_(phenethyl_alcohol),애플스피릿
benzeneethanol_(phenethyl_alcohol),화주
benzeneethanol_(phenethyl_alcohol),왕주
benzeneethanol_(phenethyl_alcohol),추사백
benzeneethanol_(phenethyl_alcohol),추사
ethyl_myristate,추사
octanoic_acid,애플스피릿
octanoic_acid,왕주
octanoic_acid,추사백
octanoic_acid,추사
decanoic_acid,애플스피릿
decanoic_acid,추사
"2,4-di-tert-butylphenol",애플스피릿
"2,4-di-tert-butylphenol",추사백
"2,4-di-tert-butylphenol",술샘
